ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
1603 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1911,0.1175,5120,4406,0.860546875,1148,1218,
1812 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,3,1927,0.1175,5120,2146,0.419140625,806,950,
1627 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0964,4200,2530,0.602380952,896,1054,
1818 SE LADD AVE,DUPLEX,1,1947,0.1175,5120,2100,0.41015625,1050,1050,
1945 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.079,3440,1464,0.425581395,729,735,
1850 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,4067,0.794335938,1120,1122,
1913 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1928,0.1354,5900,3877,0.657118644,468,1669,
1743 SE LOCUST AVE # 1745,DUPLEX,1,1963,0.1175,5120,2980,0.58203125,1000,1980,
2012 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1165,5074,2464,0.485612929,884,1020,
2120 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1940,0.1165,5074,2462,0.485218762,1001,1089,
1629 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1924,0.0781,3400,1671,0.491470588,816,855,
1979 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0682,2970,1976,0.665319865,988,988,
1937 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3259,0.636523438,1232,1403,
2321 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1923,0.079,3440,2488,0.723255814,1092,1092,
2021 SE LADD AVE,DUPLEX,1,1960,0.1469,6397,2616,0.408941691,,2616,
1623 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.0716,3120,1792,0.574358974,728,1064,
1709 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1175,5120,3440,0.671875,1140,1140,
1549 SE LADD AVE,COMMERCIAL,1,1910,0.0929,4046,3194,0.789421651,910,910,
1960 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1908,0.0795,3464,2646,0.763856813,810,864,
2411 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1816,0.3546875,400,1116,
1437 SE DIVISION ST,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2584,0.5046875,992,992,
2414 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0748,3260,1854,0.568711656,900,954,
